character,frequency
の,1918313
に,1108840
た,1067566
い,1060284
は,937811
を,936356
と,927938
る,916652
が,860742
し,848132
で,764834
て,758316
な,720156
か,537294
っ,467350
れ,450805
ら,423294
も,396142
う,352965
す,340654
り,333999
こ,312227
だ,280911
ま,278599
さ,258960
き,233505
め,223806
く,221960
あ,204256
け,199362
ど,196555
ん,190068
え,163664
よ,154206
つ,153999
や,146156
そ,131611
わ,123077
ち,99183
み,89264
せ,83444
ろ,73467
ば,72228
お,65870
じ,56857
べ,56005
ず,53256
げ,49126
ほ,48752
へ,47013
び,32312
む,31212
ご,26965
ね,23490
ぶ,23280
ぐ,21549
ぎ,19865
ひ,19148
ょ,14425
づ,13125
ぼ,12402
ざ,12108
ふ,11606
ゃ,11522
ぞ,10047
ゆ,8486
ぜ,6893
ぬ,5124
ぱ,4349
ゅ,2755
ぴ,1608
ぽ,1315
ぷ,986
ぺ,477
ぁ,125
ぇ,106
ぢ,82
ゑ,75
ゐ,48
ぉ,21
ぃ,21
ゎ,3
ぅ,1
