symbol,code
の,001
い,0100
た,0101
に,0111
は,0000
か,01100
が,11011
し,11001
っ,00010
て,10110
で,10111
と,11110
な,10100
る,11101
を,11111
う,100111
こ,100011
さ,011010
す,100110
だ,100000
ま,011011
も,110000
ら,110100
り,100101
れ,111000
あ,1100011
え,1001001
き,1110011
く,1101011
け,1100010
そ,0001111
つ,1000100
ど,1010111
め,1110010
や,1000011
よ,1000101
わ,0001101
ん,1010101
お,00011101
じ,00011001
せ,10010001
ち,11010100
ば,10000101
べ,00011000
み,10101001
ろ,10010000
げ,101011011
ず,110101011
び,100001000
へ,101011000
ほ,101011010
む,000111001
ぎ,1010100000
ぐ,1010100001
ご,1101010101
ね,1010110010
ひ,1000010011
ぶ,1010100011
ょ,0001110001
ざ,10101100111
ぜ,00011100000
ぞ,10101000100
づ,11010101001
ふ,10101100110
ぼ,11010101000
ゃ,10101000101
ゆ,10000100100
ぬ,100001001011
ぱ,000111000011
ぴ,0001110000101
ぽ,0001110000100
ゅ,1000010010101
ぷ,10000100101001
ぺ,100001001010000
ぁ,10000100101000110
ぇ,10000100101000101
ぢ,100001001010001111
ゐ,100001001010001001
ゑ,100001001010001110
ぉ,1000010010100010000
ぃ,10000100101000100011
ぅ,100001001010001000100
ゎ,100001001010001000101
